// Mostly generated by ChatGPT
\Alpha A
\alpha α
\amalg ⨿
\And ∧
\angle ∠
\approx ≈
\ast *
\asymp ≍
\backepsilon ∍
\backprime ‵
\backsim ∽
\backslash
\because ∵
\beta β
\between ≬
\bigcap ⋂
\bigcirc ○
\bigcup ⋃
\bigodot ⊙
\bigoplus ⊕
\bigotimes ⊗
\bigsqcup ⊔
\bigtriangledown ▽
\bigtriangleup △
\biguplus ⊎
\bigvee ⋁
\bigwedge ⋀
\bot ⊥
\Box □
\boxdot ⊡
\boxminus ⊟
\boxplus ⊞
\boxtimes ⊠
\bullet •
\cap ∩
\cdot ⋅
\cdots …
\centerdot ·
\chi χ
\circ ∘
\clubsuit ♣
\colon :
\complement ∁
\cong ≅
\coprod ∐
\cup ∪
\curlyeqprec ⋞
\curlyeqsucc ⋟
\curlyvee ⊔
\curlywedge ⊓
\dag †
\dagger †
\daleth ℸ
\dashv ⊣
\ddag ‡
\ddagger ‡
\ddots ⋱
\deg °
\delta δ
\diamondsuit ♢
\div ÷
\divideontimes ∕
\dotplus ∔
\doteq ≐
\dotminus ∸
\dotso …
\dotsm ⋯
\dotsc …
\doublebarwedge ⌆
\downarrow ↓
\Downarrow ⇓
\downdownarrows ⤋
\downharpoonleft ⇃
\downharpoonright ⇂
\ell ℓ
\emptyset ∅
\epsilon ε
\eqsim ≂
\equiv ≡
\eta η
\exists ∃
\exp ⅇ
\fallingdotseq ≒
\flat ♭
\forall ∀
\frown ⌢
\gamma γ
\geq ≥
\gg ≫
\gimel ℷ
\heartsuit ♡
\hookleftarrow ↩
\hookrightarrow ↪
\hslash ℏ
\Im ℑ
\imath 𝚤
\in ∈
\infty ∞
\int ∫
\iota ι
\jmath 𝚥
\kappa κ
\lambda λ
\langle ⟨
\lbrace {
\lceil ⌈
\ldots …
\leq ≤
\lfloor ⌊
\ll ≪
\lnatural ♮
\log ⅈog
\longleftarrow ⟵
\Longleftarrow ⟸
\longleftrightarrow ↔
\Longleftrightarrow ⟺
\longmapsto ⟼
\longrightarrow ⟶
\Longrightarrow ⟹
\looparrowleft ↫
\looparrowright ↬
\lor ∨
\lozenge ◊
\lrcorner ⌟
\ltimes ⋉
\maltese ✠
\mapsto ↦
\max ⨀
\measuredangle ∡
\mho ℧
\mid ∣
\mp ∓
\mu μ
\nabla ∇
\natural ♮
\neg ¬
\negmedspace !
\negthickspace \negmedspace
\negligible ,
\nexists ∄
\ngeq ≱
\ni ∋
\nleftarrow ↚
\Nleftrightarrow ⇎
\nleftrightarrow ↮
\nleq ≰
\natural ♮
\notin ∉
\nparallel ∦
\nu ν
\nwarrow ↖
\odot ⊙
\oint ∮
\omega ω
\Omega Ω
\ominus ⊖
\oplus ⊕
\oslash ⊘
\otimes ⊗
\overbrace { }
\overleftarrow { }
\overrightarrow { }
\parallel ∥
\partial ∂
\perp ⊥
\phi ϕ
\Phi Φ
\pi π
\Pi Π
\pm ±
\prec ≺
\preceq ≼
\prime ′
\prod ∏
\propto ∝
\psi ψ
\Psi Ψ
\qed □
\qquad \quad \quad
\rangle ⟩
\rbrace }
\Re ℜ
\rightarrow →
\Rightarrow ⇒
\rho ρ
\rightleftharpoons ⇌
\rmoustache ⎱
\rtimes ⋊
\searrow ↘
\setminus
\sharp ♯
\sigma σ
\Sigma Σ
\sim ∼
\simeq ≃
\smallint ∫
\smile ⌣
\spadesuit ♠
\sqcap ⊓
\sqcup ⊔
\sqsubset ⊏
\sqsubseteq ⊑
\sqsupset ⊐
\sqsupseteq ⊒
\star ⋆
\subset ⊂
\subseteq ⊆
\succ ≻
\succeq ≽
\sum ∑
\supset ⊃
\supseteq ⊇
\swarrow ↙
\tau τ
\therefore ∴
\theta θ
\Theta Θ
\times ×
\tiny \scriptsize
\twoheadleftarrow ↞
\twoheadrightarrow ↠
\ulcorner ⌜
\uparrow ↑
\Uparrow ⇑
\updownarrow ↔
\Updownarrow ⇕
\upharpoonleft ↿
\upharpoonright ↾
\upsilon υ
\Upsilon Υ
\vdash ⊢
\vee ∨
\Vert ‖
\vert |
\wedge ∧
\wp ℘
\wr ≀
\xi ξ
\Xi Ξ
\zeta ζ
