abs,abs{#{expression}}
alpha,alpha
bar,bar{#{var}}
because,:'
beta,beta
cancel,cancel{#{expression}}
ceil,ceil{#{expression}}
chi,chi
complexnumberset,CC
delta,delta
Delta,Delta
dot,dot{#{var}}
doubledot,ddot{#{var}}
emptyset,O/
epsilon,epsilon
equals,=
eta,eta
floor,floor{#{expression}}
fraction,frac{#{numerator}}{#{denominator}}
gamma,gamma
Gamma,Gamma
greaterthan,>
greaterorequals,>=
hat,hat{#{expression}}
infinity,oo
intboth,int_{#{lowerBound}}^{#{upperBound}}
integernumberset,ZZ
intover,int^{#{upperBound}}
intunder,int_{#{lowerBound}}
iota,iota
kappa,kappa
lambda,lambda
Lambda,Lambda
lessthan,<
lessorequals,<=
limunder,lim_{#{limit}}
mu,mu
naturalnumberset,NN
notequal,!=
nu,nu
omega,omega
Omega,Omega
overbrace,obrace{#{expression}}
overset,overset{#{sym}}{#{expression}}
partial,del
phi,phi
Phi,Phi
pi,pi
Pi,Pi
power,^{#{exponent}}
prodboth,prod_{#{lowerBound}}^{#{upperBound}}
prodover,prod^{#{upperBound}}
produnder,prod_{#{lowerBound}}
psi,psi
Psi,Psi
rationalnumberset,QQ
realnumberset,RR
rho,rho
sigma,sigma
Sigma,Sigma
strikethrough,cancel{#{expression}}
sumboth,sum_{#{lowerBound}}^{#{upperBound}}
sumover,sum^{#{upperBound}}
sumunder,sum_{#{lowerBound}}
tau,tau
text,text(#{text})
therefore,:.
theta,theta
Theta,Theta
tilde,tilde{#{var}}
times,×
towards,->
underbrace,ubrace{#{expression}}
underline,ul{#{expression}}
underset,underset{#{sym}}{#{expression}}
upsilon,upsilon
vec,vec{#{var}}
xi,xi
Xi,Xi
zeta,zeta
